,place_name,place_ID,latitude,Longitude,plus_code,rating,user_ratings_total,business_status,types,address,region,population,num_bus_stop,num_mall
221,myVillage,ChIJe9klyv8W2jERYNGDiZ86kbw,1.3650699,103.8652075,9V88+23 Singapore,3.9,233,OPERATIONAL,shopping_mall,"1 Maju Ave, Singapore 556679",Serangoon,120670,3,0
222,NEX,ChIJeRqAraYX2jERQpyIAXSU1SU,1.3507723,103.8722585,9V2C+8W Singapore,4.3,15855,OPERATIONAL,shopping_mall,"23 Serangoon Central, Singapore 556083",Serangoon,120670,11,1
223,Canberra Plaza,ChIJexbbYoYU2jERNnDL7LAbLn0,1.443256,103.830463,CRVJ+85 Singapore,3.9,15,OPERATIONAL,shopping_mall,"133 Canberra View, Singapore 750133",Sembawang,76530,4,0
224,Raffles Holland V Mall,ChIJf2SJA2sa2jERSrwcPU_QRvI,1.3105584,103.7961823,8Q6W+6F Singapore,3.9,464,OPERATIONAL,shopping_mall,"118 Holland Ave, Singapore 278973",Bukit Timah,74470,16,3
225,The Majestic,ChIJfSYyn3QZ2jERzxX0wJK1Sp4,1.2847423,103.8432282,7RMV+V7 Singapore,3.8,96,OPERATIONAL,shopping_mall,"80 Eu Tong Sen St, Singapore 059810",Outram,22080,25,13
226,Buangkok Square Mall,ChIJfWoCWmgW2jERanT7N52GIYY,1.3843301,103.8820829,9VMJ+PR Singapore,4,459,OPERATIONAL,shopping_mall,"Block 991 Buangkok Link, Singapore 530991",Hougang,222310,3,0
227,Orchard Gateway,ChIJfZmGM5EZ2jERgDzwv5rdA-U,1.3009584,103.8389111,8R2Q+9H Singapore,4.3,3300,OPERATIONAL,shopping_mall,"277 Orchard Rd, Singapore 238858",Orchard,920,18,16
228,kcuts @Holland Piazza,ChIJg-4zQNcb2jERv2cdALBVw_Q,1.3107627,103.7952088,8Q6W+83 Singapore,3.5,16,OPERATIONAL,shopping_mall,"3 Lor Liput, #B1-01, Singapore 277725",Bukit Timah,74470,16,3
229,Causeway Point,ChIJg0iEvagT2jERLpza72gaJ08,1.4360933,103.7859471,CQPP+C9 Singapore,4.2,8859,OPERATIONAL,shopping_mall,"1 Woodlands Square, Singapore 738099",Woodlands,250290,1,2
230,Rivervale Plaza,ChIJg6GcaBcW2jER_Vyx8tDZ1JU,1.385387,103.9018653,9WP2+5P Singapore,3.9,2646,OPERATIONAL,shopping_mall,"118 Rivervale Dr, Singapore 540118",Sengkang,206680,2,0
231,King's Arcade Shopping Centre,ChIJgRkgPQYa2jERY0l4yAuy74I,1.3233285,103.8108037,8RF6+88 Singapore,3.7,108,OPERATIONAL,shopping_mall,"559 Bukit Timah Rd, Singapore 269695",Bukit Timah,74470,5,5
232,Purity Haven,ChIJgVphjBE92jERaU9RgqOATUs,1.3524927,103.9438027,9W2V+XG Singapore,3.4,7,OPERATIONAL,shopping_mall,"2 Tampines Central 5, #03-25 Century Square, Singapore 529509",Tampines,261230,0,7
233,Bedok Point,ChIJgWBomLQi2jERyU-GZEHw_NI,1.3249305,103.9323811,8WFJ+XX Singapore,3.9,2010,OPERATIONAL,shopping_mall,"799 New Upper Changi Rd, Singapore 467351",Bedok,289750,10,3
234,North Point City,ChIJgXPnfm8U2jERabk9PHaKjD0,1.4284574,103.8361884,CRHP+9F Singapore,4.1,14,OPERATIONAL,shopping_mall,"Yishun Central 1, Singapore",Yishun,201970,7,4
235,Thai Dynasty Cuisine @Nex Food Junction,ChIJh-IWvMAX2jERcyGKeyBftIQ,1.3509338,103.8717532,9V2C+9P Singapore,2.9,7,OPERATIONAL,shopping_mall,"23 Serangoon Central, #04-36/37 Nex, Singapore 556083",Serangoon,120670,11,1
236,7 Temasek Boulevard,ChIJh6kHyeMb2jER-qgva1OFubM,1.2648218,103.8182191,7R79+W7 Singapore,4.4,10,OPERATIONAL,shopping_mall,"1 Harbourfront Ave, Keppel Bay Tower, Singapore 098632",Bukit Merah,,0,2
237,JCube,ChIJh7rQjgUQ2jERSAcxrKMcMg0,1.333138,103.740343,8PMR+74 Singapore,4.1,6285,OPERATIONAL,shopping_mall,"2 Jurong East Central 1, Singapore 609731",Jurong East,84980,13,3
238,Knightsbridge,ChIJhQOvf5EZ2jERE-UdGluwRWA,1.3030644,103.8361853,8R3P+6F Singapore,4.3,49,OPERATIONAL,shopping_mall,"270 Orchard Rd, Singapore 238857",Orchard,920,18,20
239,Aro Kingdom,ChIJhVIx2swR2jERUY3qsb8TPSc,1.3867009,103.7320767,9PPJ+MR Singapore,4.6,7,OPERATIONAL,shopping_mall,"80 Sungei Tengah Rd, Singapore 699004",Western Water Catchment,,0,0
240,Chinatown,ChIJhYH9Vh0Z2jER6g6lUiEFQRU,1.2828226,103.845453,7RMW+45 Singapore,4.4,8,OPERATIONAL,shopping_mall,"South Bridge Rd, 227-233, Singapore 058776",Outram,22080,30,15
241,Hougang Centre,ChIJi08JmDcW2jERwpmiFA7R9KI,1.3719606,103.8934394,9VCV+Q9 Singapore,4.3,7,OPERATIONAL,shopping_mall,"Hougang Central, Singapore",Hougang,222310,0,2
242,321 Clementi,ChIJi1x76o0a2jERRpEEL3FuXJk,1.311998,103.765014,8Q68+Q2 Singapore,3.9,1729,OPERATIONAL,shopping_mall,"321 Clementi Ave 3, Singapore 129905",Clementi,91630,12,2
243,Fook Hai Building,ChIJiTsmEnEZ2jERFHutpeR7-0Y,1.2850486,103.8464953,7RPW+2H Singapore,3.8,95,OPERATIONAL,shopping_mall,"150 South Bridge Rd, Singapore 058727",Outram,22080,24,14
244,Katong Plaza,ChIJiYsAZXIY2jERmsUoK3fIoaA,1.3043247,103.9037455,8W33+PF Singapore,3.4,197,OPERATIONAL,shopping_mall,"1 Brooke Rd, Singapore 429979",Marine Parade,,8,2
245,Mandaii Connection Between Camer,ChIJibfitkET2jER2Fecxzre5uI,1.4084457,103.7567832,CQ54+9P Singapore,3.8,37,OPERATIONAL,shopping_mall,"7 Mandai Link, Singapore 728664",Sungei Kadut,850,10,1
246,Mandarin Gallery,ChIJiwOzdpEZ2jER8ZBANNMQhAw,1.302037,103.8362722,8R2P+RG Singapore,4.3,2414,OPERATIONAL,shopping_mall,"333A Orchard Rd, Singapore 238897",Orchard,920,19,19
247,VIIO @ Balestier,ChIJj-81r5cj2jERciBegyh_20c,1.3268632,103.8459236,8RGW+P9 Singapore,4.2,28,OPERATIONAL,shopping_mall,"520 Balestier Rd, Singapore 329853",Novena,47990,12,2
248,Esplanade Xchange,ChIJj1GfBaYZ2jER9VdyOe0KKcY,1.2933113,103.8563653,7VV4+8G Singapore,4,207,OPERATIONAL,shopping_mall,"1 Raffles Blvd, Singapore 039593",Downtown Core,3720,19,5
249,Singapore Shopping Centre,ChIJj63eEZgZ2jERlsPDIn44YlY,1.2980833,103.8440979,7RXV+6J Singapore,3.6,212,OPERATIONAL,shopping_mall,"190 Clemenceau Ave, Singapore 239924",Museum,380,15,5
250,Bugis Street,ChIJj7TW9LoZ2jERQgNlXkKhASQ,1.300599,103.854893,8V23+6X Singapore,4.3,15206,OPERATIONAL,shopping_mall,"3 New Bugis Street, Singapore 188867",Rochor,14590,12,12
251,Kallang Wave Mall,ChIJjQcl90sY2jER0d9ui1pFp9s,1.3032243,103.8728714,8V3F+74 Singapore,4.2,7131,OPERATIONAL,shopping_mall,"1 Stadium Pl, Singapore 397628",Kallang,101210,3,1
252,The Woodgrove,ChIJjT_ThNUT2jER5XX8cPcvRTw,1.4291643,103.7810781,CQHJ+MC Singapore,4.2,286,OPERATIONAL,shopping_mall,"30 Woodlands Ave 1, Singapore 739065",Woodlands,250290,1,0
253,Fortune Centre,ChIJjZfJEvQZ2jERk-cl2XeNhlE,1.3004744,103.8520542,8V22+5R Singapore,4.1,118,OPERATIONAL,shopping_mall,"190 Middle Rd, Fortune Centre, Singapore 188979",Rochor,14590,10,14
254,Sembawang Mart,ChIJk32Wj2ET2jERlCt-VO4D4IY,1.453728,103.8196335,FR39+FV Singapore,3.8,468,OPERATIONAL,shopping_mall,"511 Canberra Rd, Singapore 750511",Sembawang,76530,10,0
255,Cluny Court,ChIJkQ-vvQYa2jERe6WZR9ehHXI,1.3226478,103.8142803,8RF7+3P Singapore,4.1,563,OPERATIONAL,shopping_mall,"501 Bukit Timah Rd, Singapore 259760",Tanglin,,3,5
256,The Riverwalk,ChIJkVXIeQoZ2jERogeBOmGicvw,1.2749455,103.8434094,7RFV+X9 Singapore,4.1,512,OPERATIONAL,shopping_mall,"100 Tras St, 100AM #16-0, Singapore 079027",Downtown Core,3720,13,5
257,Raffles City Shopping Centre,ChIJl6MA_AMZ2jERWANMx2T6CTk,1.2937585,103.8534331,7VV3+G9 Singapore,4.4,4555,OPERATIONAL,shopping_mall,"252 North Bridge Rd, Singapore 179103",Downtown Core,3720,20,6
258,Joo Chiat Complex,ChIJlULslBAY2jERh1cJ-h8qH5Y,1.315681,103.8988707,8V8X+7G Singapore,4.1,1045,OPERATIONAL,shopping_mall,"1 Joo Chiat Rd, Singapore 420001",Geylang,116960,6,3
259,Our Tampines Hub (North Plaza Entrance,ChIJlUXoVnY92jERNJyEe0Qo_Ds,1.3541097,103.9403594,9W3R+J4 Singapore,4.5,819,OPERATIONAL,shopping_mall,"Tampines Walk, Singapore",Tampines,261230,0,4
260,China Square Central,ChIJlYNxjgwZ2jERpgzyrQepTAk,1.2837062,103.8465889,7RMW+FJ Singapore,3.9,958,OPERATIONAL,shopping_mall,"18 Cross St, Singapore 048423",Outram,22080,24,13
261,Paragon,ChIJl_sOMpIZ2jERKgmuCf4FCs0,1.3038699,103.8357982,8R3P+G8 Singapore,4.4,10288,OPERATIONAL,shopping_mall,"Singapore, SG 290 Orchard Singapore Paragon#03-49 邮政编码: 238859",Orchard,920,20,20
