,place_name,place_ID,latitude,Longitude,plus_code,rating,user_ratings_total,business_status,types,address,region,population,num_bus_stop,num_mall
309,Hougang Green Shopping Mall,ChIJv3smaEEW2jERsPGCT2-DWq4,1.3796363,103.8882148,9VHQ+V7 Singapore,3.8,367,OPERATIONAL,shopping_mall,"21 Hougang Street 51, Singapore 538719",Hougang,222310,6,0
310,Khatib Central,ChIJv6TxPRIU2jERTIL4lT3CLTI,1.4162387,103.8350761,CR8P+F2 Singapore,4.1,701,OPERATIONAL,shopping_mall,"848 Yishun Street 81, Singapore 760848",Yishun,201970,0,0
311,100 AM,ChIJvUUHX2sZ2jERFw3Rybv_wwY,1.2750063,103.8435656,7RGV+2C Singapore,4,2891,OPERATIONAL,shopping_mall,"100 Tras St, Singapore 079027",Downtown Core,3720,13,5
312,New World Centre,ChIJvUdpEJcZ2jERGnJMuEfYfIY,1.3073566,103.8575602,8V45+W2 Singapore,4,88,OPERATIONAL,shopping_mall,"1 Jln Berseh, Singapore 209037",Rochor,14590,17,3
313,Simpang 4 Kadut,ChIJvZMicSIS2jER1R2JVmQ4wCc,1.4075223,103.7529759,CQ53+25 Singapore,3.9,8,OPERATIONAL,shopping_mall,"33 Sungei Kadut Ave, Singapore 729677",Sungei Kadut,850,10,1
314,Market Square @ Downtown East,ChIJw3DaQ4w92jERiq4bkOKxA0g,1.3779962,103.9548834,9XH3+5X Singapore,4.3,234,OPERATIONAL,shopping_mall,Singapore,Pasir Ris,139890,4,2
315,Jewel Changi Airport,ChIJw3l-FL4X2jERw2pScvHQCbg,1.3602082,103.9897593,9X6Q+3W Singapore,4.7,30675,OPERATIONAL,shopping_mall,"78 Airport Blvd, Singapore 819666",Changi,2530,2,0
316,OUE Tower,ChIJw4L-2w4Z2jER4uL95POuIe0,1.2835014,103.8531358,7VM3+C7 Singapore,4.5,51,OPERATIONAL,shopping_mall,"60 Collyer Quay, Singapore 049322",Downtown Core,3720,20,9
317,Telok Blangah Mall,ChIJw656L8Mb2jERzs3namlmYGs,1.2733062,103.8091982,7RF5+8M Singapore,3.1,11,OPERATIONAL,shopping_mall,"78B Telok Blangah Street 32, Singapore 102078",Bukit Merah,,0,0
318,Harvey Norman,ChIJw8FKZawi2jERAztIcXvS-Og,1.3230793,103.9214304,8WFC+6H Singapore,4,400,OPERATIONAL,shopping_mall,"750B Chai Chee Road #01-01 to 06, #01-09 to 12, #02-02 to 06 Business Park, Singapore 469002",Bedok,289750,9,0
319,Bugis+,ChIJwSNJ77oZ2jERuX8Bl5bU2tI,1.2995955,103.8542191,7VX3+RM Singapore,4.3,9159,OPERATIONAL,shopping_mall,"201 Victoria St, Singapore 188067",Rochor,14590,12,11
320,Alexandra Retail Centre,ChIJwz3yHMEb2jERHclcbs5KL4A,1.2737935,103.8016048,7RF2+GJ Singapore,4,3393,OPERATIONAL,shopping_mall,"460 Alexandra Rd, Singapore 119963",Queenstown,98050,0,0
321,E!Avenue @ Downtown East,ChIJx0IhAbQ92jERBHWmI_pJ3U4,1.3778367,103.9550988,9XH4+42 Singapore,4.3,205,OPERATIONAL,shopping_mall,"1 Pasir Ris Cl, Singapore 519599",Pasir Ris,139890,4,2
322,Junction Nine,ChIJxy4SmmAV2jERyaGsjBsLwbc,1.4331427,103.8415583,CRMR+7J Singapore,3.9,659,OPERATIONAL,shopping_mall,"18 Yishun Ave 9, Singapore 768897",Yishun,201970,10,0
323,Bugis Junction,ChIJxyqHo7oZ2jERNQtDRIuckqU,1.2988889,103.8555556,7VX4+H6 Singapore,4.4,9691,OPERATIONAL,shopping_mall,"200 Victoria St, Singapore 188021",Downtown Core,3720,17,8
324,West Mall,ChIJxzbY1z4Q2jER7drH__TXbOI,1.3500142,103.7491801,9P2X+2M Singapore,4,5311,OPERATIONAL,shopping_mall,"1 Bukit Batok Central Link, Singapore 658713",Bukit Batok,139270,2,0
325,Loyang Point,ChIJxzqK6cg92jERB-QagzzIEzs,1.3667277,103.9645679,9X87+MR Singapore,4.1,918,OPERATIONAL,shopping_mall,"258-259 Pasir Ris Street 21, Singapore 510259",Pasir Ris,139890,0,0
326,The Atrium,ChIJy4WXYL0Z2jERbg8hQW40fYs,1.2995949,103.8458175,7RXW+R8 Singapore,4.2,138,OPERATIONAL,shopping_mall,"60A Orchard Rd, Singapore 238890",Museum,380,17,5
327,Compass One,ChIJy5hMcg8X2jERZ88iA4l4aBY,1.3924343,103.8954118,9VRW+X5 Singapore,4.1,6943,OPERATIONAL,shopping_mall,"1 Sengkang Square, Singapore 545078",Sengkang,206680,10,1
328,Havelock 2,ChIJyQ8DgWIZ2jERJyuRh581sco,1.2871839,103.8451368,7RPW+V3 Singapore,3.7,138,OPERATIONAL,shopping_mall,"2 Havelock Rd, Singapore 059763",Singapore River,2720,22,12
329,KAP Mall,ChIJyWSEZTMX2jERY7_UfsKdFhI,1.3369981,103.7795531,8QPH+QR Singapore,4,72,OPERATIONAL,shopping_mall,"9 King Albert Park, Singapore",Bukit Timah,74470,0,2
330,Paya Lebar Square,ChIJzxwZERgY2jER2FX37qmG49Q,1.3187541,103.8925678,8V9V+G2 Singapore,4.2,2289,OPERATIONAL,shopping_mall,"60 Paya Lebar Rd, Singapore 409051",Geylang,116960,19,4
